id,season,team1,team2,toss_winner,toss_decision,result,winner,winner_runs,winner_wickets,player_of_match,venue,city,umpire1,umpire2,reserve_umpire,tv_umpire,match_referee,eliminator
23,2020/21,Jaffna Stallions,Galle Gladiators,Jaffna Stallions,bat,normal,Jaffna Stallions,53,0,Shoaib Malik,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,HDPK Dharmasena,RSA Palliyaguruge,RR Wimalasiri,LE Hannibal,RS Madugalle,
24,2021/22,Galle Gladiators,Jaffna Kings,Jaffna Kings,field,normal,Galle Gladiators,54,0,SR Patel,"R Premadasa Stadium, Colombo",Colombo,HDPK Dharmasena,RSA Palliyaguruge,RMPJ Rambukwella,LE Hannibal,GF Labrooy,
25,2021/22,Dambulla Giants,Kandy Warriors,Dambulla Giants,bat,normal,Dambulla Giants,20,0,PD Salt,"R Premadasa Stadium, Colombo",Colombo,Keerthi Bandara,RR Wimalasiri,RA Kottahachchi,RMPJ Rambukwella,WC Labrooy,
26,2021/22,Galle Gladiators,Colombo Stars,Galle Gladiators,bat,normal,Colombo Stars,0,4,DM de Silva,"R Premadasa Stadium, Colombo",Colombo,ID Gunawardene,HDPK Dharmasena,RD Kottahachchi,RSA Palliyaguruge,BCMS Mendis,
27,2021/22,Dambulla Giants,Jaffna Kings,Dambulla Giants,bat,normal,Jaffna Kings,0,8,M Theekshana,"R Premadasa Stadium, Colombo",Colombo,HDPK Dharmasena,RA Kottahachchi,EJAPAM Jayasooriya,RR Wimalasiri,GF Labrooy,
28,2021/22,Kandy Warriors,Galle Gladiators,Kandy Warriors,bat,normal,Galle Gladiators,0,4,D Lakshan,"R Premadasa Stadium, Colombo",Colombo,JWHD Boteju,HDPK Dharmasena,Keerthi Bandara,RSA Palliyaguruge,WC Labrooy,
29,2021/22,Dambulla Giants,Colombo Stars,Dambulla Giants,bat,normal,Dambulla Giants,18,0,PD Salt,"R Premadasa Stadium, Colombo",Colombo,HDPK Dharmasena,RD Kottahachchi,ID Gunawardene,LE Hannibal,BCMS Mendis,
30,2021/22,Jaffna Kings,Kandy Warriors,Kandy Warriors,field,normal,Jaffna Kings,14,0,RAS Lakmal,"R Premadasa Stadium, Colombo",Colombo,EJAPAM Jayasooriya,RMPJ Rambukwella,JWHD Boteju,RR Wimalasiri,GF Labrooy,
31,2021/22,Dambulla Giants,Galle Gladiators,Dambulla Giants,bat,no result,no result,0,0,,"R Premadasa Stadium, Colombo",Colombo,Keerthi Bandara,LE Hannibal,RA Kottahachchi,RMPJ Rambukwella,WC Labrooy,
32,2021/22,Jaffna Kings,Colombo Stars,Colombo Stars,field,normal,Jaffna Kings,93,0,NLTC Perera,"R Premadasa Stadium, Colombo",Colombo,ID Gunawardene,RR Wimalasiri,RD Kottahachchi,RSA Palliyaguruge,BCMS Mendis,
33,2021/22,Galle Gladiators,Kandy Warriors,Galle Gladiators,bat,normal,Kandy Warriors,0,5,RS Bopara,"R Premadasa Stadium, Colombo",Colombo,RMPJ Rambukwella,RA Kottahachchi,EJAPAM Jayasooriya,LE Hannibal,WC Labrooy,
34,2021/22,Dambulla Giants,Colombo Stars,Dambulla Giants,bat,normal,Dambulla Giants,1,0,KTH Ratnayake,"R Premadasa Stadium, Colombo",Colombo,JWHD Boteju,RR Wimalasiri,Keerthi Bandara,RSA Palliyaguruge,WC Labrooy,
35,2021/22,Kandy Warriors,Jaffna Kings,Jaffna Kings,field,normal,Jaffna Kings,0,7,Shoaib Malik,"R Premadasa Stadium, Colombo",Colombo,LE Hannibal,RD Kottahachchi,ID Gunawardene,RMPJ Rambukwella,BCMS Mendis,
36,2021/22,Colombo Stars,Galle Gladiators,Colombo Stars,bat,normal,Colombo Stars,41,0,LD Chandimal,"R Premadasa Stadium, Colombo",Colombo,EJAPAM Jayasooriya,RR Wimalasiri,JWHD Boteju,RSA Palliyaguruge,GF Labrooy,
37,2021/22,Dambulla Giants,Jaffna Kings,Jaffna Kings,field,normal,Jaffna Kings,0,7,PC de Silva,"R Premadasa Stadium, Colombo",Colombo,Keerthi Bandara,RR Wimalasiri,RD Kottahachchi,LE Hannibal,GF Labrooy,
38,2021/22,Kandy Warriors,Colombo Stars,Colombo Stars,field,normal,Colombo Stars,0,5,S Prasanna,"R Premadasa Stadium, Colombo",Colombo,ID Gunawardene,LE Hannibal,RD Kottahachchi,RSA Palliyaguruge,BCMS Mendis,
39,2021/22,Galle Gladiators,Dambulla Giants,Dambulla Giants,field,normal,Galle Gladiators,0,0,SR Patel,"R Premadasa Stadium, Colombo",Colombo,RMPJ Rambukwella,RA Kottahachchi,EJAPAM Jayasooriya,RR Wimalasiri,GF Labrooy,
40,2021/22,Jaffna Kings,Colombo Stars,Jaffna Kings,bat,normal,Jaffna Kings,102,0,T Kohler-Cadmore,"R Premadasa Stadium, Colombo",Colombo,JWHD Boteju,RMPJ Rambukwella,Keerthi Bandara,RSA Palliyaguruge,RS Madugalle,
41,2021/22,Dambulla Giants,Kandy Warriors,Dambulla Giants,bat,normal,Kandy Warriors,0,6,RS Bopara,"R Premadasa Stadium, Colombo",Colombo,RR Wimalasiri,RD Kottahachchi,ID Gunawardene,LE Hannibal,BCMS Mendis,
42,2021/22,Galle Gladiators,Jaffna Kings,Galle Gladiators,bat,normal,Galle Gladiators,20,0,PBB Rajapaksa,"R Premadasa Stadium, Colombo",Colombo,EJAPAM Jayasooriya,RMPJ Rambukwella,JWHD Boteju,RSA Palliyaguruge,RS Madugalle,
43,2021/22,Colombo Stars,Kandy Warriors,Kandy Warriors,field,normal,Colombo Stars,58,0,JDF Vandersay,"R Premadasa Stadium, Colombo",Colombo,Keerthi Bandara,LE Hannibal,RA Kottahachchi,RR Wimalasiri,WC Labrooy,
44,2021/22,Colombo Stars,Dambulla Giants,Colombo Stars,bat,normal,Dambulla Giants,0,6,J Liyanage,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,LE Hannibal,RR Wimalasiri,RMPJ Rambukwella,RSA Palliyaguruge,RS Madugalle,
45,2021/22,Galle Gladiators,Jaffna Kings,Jaffna Kings,field,normal,Galle Gladiators,64,0,BKG Mendis,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,RMPJ Rambukwella,RSA Palliyaguruge,RR Wimalasiri,LE Hannibal,GF Labrooy,
46,2021/22,Jaffna Kings,Dambulla Giants,Dambulla Giants,field,normal,Jaffna Kings,23,0,WIA Fernando,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,LE Hannibal,RMPJ Rambukwella,RR Wimalasiri,RSA Palliyaguruge,RS Madugalle,
47,2021/22,Jaffna Kings,Galle Gladiators,Jaffna Kings,bat,normal,Jaffna Kings,23,0,WIA Fernando,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,LE Hannibal,RR Wimalasiri,RMPJ Rambukwella,RSA Palliyaguruge,RS Madugalle,
